year,rent,rent2
1978, 219, 219
1979, 212, 212
1980, 223, 223
1981, 234, 234
1982, 255, 255
1983, 267, 267
1984, 267, 267
1985, 272, 272
1986, 283, 283
1987, 293, 293
1988, 318, 318
1989, 328, 328
1990, 344, 344
1991, 361, 361
1992, 487, 487
1993, 507, 507
1994, 525, 525
1995, 533, 533
1996, 100, 570
1997, 100, 606
1998, 100, 643
1999, 100, 690
2000, 100, 750
2001, 100, 810
2002, 100, 882
2003, 100, 900
2004, 100, 932
2005, 100, 950
2006, 100, 994
2007, 100, 1042
2008, 100, 1100
2009, 100, 1150
2010, 100, 1151
2011, 100, 1195
2012, 100, 1236
2013, 100, 1300
2014, 100, 1375
2015, 100, 1474
2016, 100, 1572
2017, 100, 1675